Time(s),Voltage(V)
-2.940000000000000227e-06,4.000000000000000083e-02
-2.929999999999999899e-06,-4.000000000000000083e-02
-2.919999999999999995e-06,0.000000000000000000e+00
-2.910000000000000091e-06,0.000000000000000000e+00
-2.900000000000000186e-06,8.000000000000000167e-02
-2.889999999999999859e-06,4.000000000000000083e-02
-2.879999999999999954e-06,4.000000000000000083e-02
-2.870000000000000050e-06,4.000000000000000083e-02
-2.860000000000000146e-06,4.000000000000000083e-02
-2.850000000000000242e-06,-8.000000000000000167e-02
-2.839999999999999914e-06,4.000000000000000083e-02
-2.830000000000000010e-06,0.000000000000000000e+00
-2.820000000000000105e-06,4.000000000000000083e-02
-2.810000000000000201e-06,0.000000000000000000e+00
-2.799999999999999873e-06,0.000000000000000000e+00
-2.789999999999999969e-06,-4.000000000000000083e-02
-2.780000000000000065e-06,8.000000000000000167e-02
-2.770000000000000161e-06,8.000000000000000167e-02
-2.760000000000000256e-06,4.000000000000000083e-02
-2.749999999999999928e-06,1.199999999999999956e-01
-2.740000000000000024e-06,8.000000000000000167e-02
-2.730000000000000120e-06,8.000000000000000167e-02
-2.720000000000000216e-06,1.199999999999999956e-01
-2.709999999999999888e-06,-4.000000000000000083e-02
-2.699999999999999984e-06,4.000000000000000083e-02
-2.690000000000000079e-06,4.000000000000000083e-02
-2.680000000000000175e-06,0.000000000000000000e+00
-2.669999999999999847e-06,4.000000000000000083e-02
-2.659999999999999943e-06,1.600000000000000033e-01
-2.650000000000000039e-06,0.000000000000000000e+00
-2.640000000000000135e-06,0.000000000000000000e+00
-2.630000000000000230e-06,0.000000000000000000e+00
-2.619999999999999903e-06,0.000000000000000000e+00
-2.609999999999999998e-06,0.000000000000000000e+00
-2.600000000000000094e-06,0.000000000000000000e+00
-2.590000000000000190e-06,0.000000000000000000e+00
-2.579999999999999862e-06,4.000000000000000083e-02
-2.569999999999999958e-06,-4.000000000000000083e-02
-2.560000000000000054e-06,4.000000000000000083e-02
-2.550000000000000149e-06,0.000000000000000000e+00
-2.540000000000000245e-06,-4.000000000000000083e-02
-2.529999999999999917e-06,8.000000000000000167e-02
-2.520000000000000013e-06,0.000000000000000000e+00
-2.510000000000000109e-06,8.000000000000000167e-02
-2.500000000000000205e-06,8.000000000000000167e-02
-2.489999999999999877e-06,0.000000000000000000e+00
-2.479999999999999972e-06,0.000000000000000000e+00
-2.470000000000000068e-06,0.000000000000000000e+00
-2.460000000000000164e-06,-4.000000000000000083e-02
-2.450000000000000260e-06,8.000000000000000167e-02
-2.439999999999999932e-06,0.000000000000000000e+00
-2.430000000000000028e-06,-4.000000000000000083e-02
-2.420000000000000123e-06,8.000000000000000167e-02
-2.410000000000000219e-06,0.000000000000000000e+00
-2.399999999999999891e-06,4.000000000000000083e-02
-2.389999999999999987e-06,8.000000000000000167e-02
-2.380000000000000083e-06,4.000000000000000083e-02
-2.370000000000000179e-06,8.000000000000000167e-02
-2.359999999999999851e-06,8.000000000000000167e-02
-2.349999999999999947e-06,-4.000000000000000083e-02
-2.340000000000000042e-06,4.000000000000000083e-02
-2.330000000000000138e-06,-4.000000000000000083e-02
-2.320000000000000234e-06,0.000000000000000000e+00
-2.309999999999999906e-06,0.000000000000000000e+00
-2.300000000000000002e-06,4.000000000000000083e-02
-2.290000000000000098e-06,8.000000000000000167e-02
-2.280000000000000193e-06,8.000000000000000167e-02
-2.269999999999999866e-06,0.000000000000000000e+00
-2.259999999999999961e-06,0.000000000000000000e+00
-2.250000000000000057e-06,0.000000000000000000e+00
-2.240000000000000153e-06,-4.000000000000000083e-02
-2.230000000000000248e-06,-4.000000000000000083e-02
-2.219999999999999921e-06,4.000000000000000083e-02
-2.210000000000000016e-06,4.000000000000000083e-02
-2.200000000000000112e-06,-4.000000000000000083e-02
-2.190000000000000208e-06,-4.000000000000000083e-02
-2.179999999999999880e-06,0.000000000000000000e+00
-2.169999999999999976e-06,4.000000000000000083e-02
-2.160000000000000072e-06,0.000000000000000000e+00
-2.150000000000000167e-06,0.000000000000000000e+00
-2.139999999999999840e-06,4.000000000000000083e-02
-2.129999999999999935e-06,0.000000000000000000e+00
-2.120000000000000031e-06,4.000000000000000083e-02
-2.110000000000000127e-06,0.000000000000000000e+00
-2.100000000000000223e-06,4.000000000000000083e-02
-2.089999999999999895e-06,0.000000000000000000e+00
-2.079999999999999991e-06,4.000000000000000083e-02
-2.070000000000000086e-06,-4.000000000000000083e-02
-2.060000000000000182e-06,1.199999999999999956e-01
-2.049999999999999854e-06,4.000000000000000083e-02
-2.039999999999999950e-06,-4.000000000000000083e-02
-2.030000000000000046e-06,-4.000000000000000083e-02
-2.020000000000000142e-06,0.000000000000000000e+00
-2.010000000000000237e-06,4.000000000000000083e-02
-1.999999999999999909e-06,4.000000000000000083e-02
-1.990000000000000005e-06,-4.000000000000000083e-02
-1.980000000000000101e-06,4.000000000000000083e-02
-1.970000000000000197e-06,-4.000000000000000083e-02
-1.959999999999999869e-06,0.000000000000000000e+00
-1.949999999999999965e-06,0.000000000000000000e+00
-1.940000000000000060e-06,0.000000000000000000e+00
-1.930000000000000156e-06,4.000000000000000083e-02
-1.920000000000000252e-06,0.000000000000000000e+00
-1.909999999999999924e-06,-4.000000000000000083e-02
-1.900000000000000020e-06,0.000000000000000000e+00
-1.890000000000000116e-06,0.000000000000000000e+00
-1.880000000000000000e-06,0.000000000000000000e+00
-1.870000000000000095e-06,0.000000000000000000e+00
-1.859999999999999979e-06,0.000000000000000000e+00
-1.850000000000000075e-06,4.000000000000000083e-02
-1.839999999999999959e-06,0.000000000000000000e+00
-1.830000000000000055e-06,4.000000000000000083e-02
-1.819999999999999939e-06,0.000000000000000000e+00
-1.810000000000000035e-06,0.000000000000000000e+00
-1.800000000000000130e-06,8.000000000000000167e-02
-1.790000000000000014e-06,-4.000000000000000083e-02
-1.780000000000000110e-06,4.000000000000000083e-02
-1.769999999999999994e-06,-8.000000000000000167e-02
-1.760000000000000090e-06,4.000000000000000083e-02
-1.749999999999999974e-06,0.000000000000000000e+00
-1.740000000000000069e-06,8.000000000000000167e-02
-1.729999999999999953e-06,4.000000000000000083e-02
-1.720000000000000049e-06,8.000000000000000167e-02
-1.709999999999999933e-06,0.000000000000000000e+00
-1.700000000000000029e-06,0.000000000000000000e+00
-1.690000000000000125e-06,0.000000000000000000e+00
-1.680000000000000009e-06,0.000000000000000000e+00
-1.670000000000000104e-06,0.000000000000000000e+00
-1.659999999999999988e-06,-4.000000000000000083e-02
-1.650000000000000084e-06,0.000000000000000000e+00
-1.639999999999999968e-06,0.000000000000000000e+00
-1.630000000000000064e-06,8.000000000000000167e-02
-1.619999999999999948e-06,-4.000000000000000083e-02
-1.610000000000000044e-06,0.000000000000000000e+00
-1.599999999999999928e-06,0.000000000000000000e+00
-1.590000000000000023e-06,0.000000000000000000e+00
-1.580000000000000119e-06,0.000000000000000000e+00
-1.570000000000000003e-06,0.000000000000000000e+00
-1.560000000000000099e-06,0.000000000000000000e+00
-1.549999999999999983e-06,0.000000000000000000e+00
-1.540000000000000079e-06,0.000000000000000000e+00
-1.529999999999999963e-06,0.000000000000000000e+00
-1.520000000000000058e-06,-8.000000000000000167e-02
-1.509999999999999942e-06,0.000000000000000000e+00
-1.500000000000000038e-06,-8.000000000000000167e-02
-1.490000000000000134e-06,8.000000000000000167e-02
-1.480000000000000018e-06,0.000000000000000000e+00
-1.470000000000000113e-06,0.000000000000000000e+00
-1.459999999999999997e-06,4.000000000000000083e-02
-1.450000000000000093e-06,8.000000000000000167e-02
-1.439999999999999977e-06,0.000000000000000000e+00
-1.430000000000000073e-06,4.000000000000000083e-02
-1.419999999999999957e-06,0.000000000000000000e+00
-1.410000000000000053e-06,4.000000000000000083e-02
-1.399999999999999937e-06,0.000000000000000000e+00
-1.390000000000000032e-06,8.000000000000000167e-02
-1.380000000000000128e-06,0.000000000000000000e+00
-1.370000000000000012e-06,-4.000000000000000083e-02
-1.360000000000000108e-06,8.000000000000000167e-02
-1.349999999999999992e-06,4.000000000000000083e-02
-1.340000000000000088e-06,0.000000000000000000e+00
-1.329999999999999972e-06,8.000000000000000167e-02
-1.320000000000000067e-06,8.000000000000000167e-02
-1.309999999999999951e-06,0.000000000000000000e+00
-1.300000000000000047e-06,0.000000000000000000e+00
-1.289999999999999931e-06,8.000000000000000167e-02
-1.280000000000000027e-06,8.000000000000000167e-02
-1.270000000000000123e-06,4.000000000000000083e-02
-1.260000000000000007e-06,0.000000000000000000e+00
-1.250000000000000102e-06,8.000000000000000167e-02
-1.239999999999999986e-06,8.000000000000000167e-02
-1.230000000000000082e-06,0.000000000000000000e+00
-1.219999999999999966e-06,0.000000000000000000e+00
-1.210000000000000062e-06,0.000000000000000000e+00
-1.199999999999999946e-06,4.000000000000000083e-02
-1.190000000000000041e-06,0.000000000000000000e+00
-1.179999999999999925e-06,4.000000000000000083e-02
-1.170000000000000021e-06,-4.000000000000000083e-02
-1.160000000000000117e-06,-4.000000000000000083e-02
-1.150000000000000001e-06,1.199999999999999956e-01
-1.140000000000000097e-06,8.000000000000000167e-02
-1.129999999999999981e-06,0.000000000000000000e+00
-1.120000000000000076e-06,0.000000000000000000e+00
-1.109999999999999960e-06,0.000000000000000000e+00
-1.100000000000000056e-06,4.000000000000000083e-02
-1.089999999999999940e-06,4.000000000000000083e-02
-1.080000000000000036e-06,0.000000000000000000e+00
-1.069999999999999920e-06,8.000000000000000167e-02
-1.060000000000000016e-06,4.000000000000000083e-02
-1.050000000000000111e-06,4.000000000000000083e-02
-1.039999999999999995e-06,0.000000000000000000e+00
-1.030000000000000091e-06,4.000000000000000083e-02
-1.019999999999999975e-06,-4.000000000000000083e-02
-1.010000000000000071e-06,4.000000000000000083e-02
-9.999999999999999547e-07,0.000000000000000000e+00
-9.900000000000000505e-07,0.000000000000000000e+00
-9.799999999999999345e-07,0.000000000000000000e+00
-9.700000000000000302e-07,0.000000000000000000e+00
-9.600000000000001260e-07,0.000000000000000000e+00
-9.500000000000000100e-07,0.000000000000000000e+00
-9.399999999999999998e-07,4.000000000000000083e-02
-9.299999999999999897e-07,0.000000000000000000e+00
-9.199999999999999795e-07,4.000000000000000083e-02
-9.099999999999999694e-07,8.000000000000000167e-02
-9.000000000000000652e-07,4.000000000000000083e-02
-8.900000000000000550e-07,0.000000000000000000e+00
-8.800000000000000449e-07,-4.000000000000000083e-02
-8.700000000000000347e-07,4.000000000000000083e-02
-8.600000000000000246e-07,0.000000000000000000e+00
-8.500000000000000145e-07,0.000000000000000000e+00
-8.400000000000000043e-07,0.000000000000000000e+00
-8.299999999999999942e-07,1.199999999999999956e-01
-8.199999999999999841e-07,4.000000000000000083e-02
-8.099999999999999739e-07,8.000000000000000167e-02
-7.999999999999999638e-07,4.000000000000000083e-02
-7.900000000000000595e-07,0.000000000000000000e+00
-7.800000000000000494e-07,8.000000000000000167e-02
-7.700000000000000393e-07,0.000000000000000000e+00
-7.600000000000000291e-07,0.000000000000000000e+00
-7.500000000000000190e-07,4.000000000000000083e-02
-7.400000000000000089e-07,4.000000000000000083e-02
-7.299999999999999987e-07,4.000000000000000083e-02
-7.199999999999999886e-07,0.000000000000000000e+00
-7.099999999999999785e-07,0.000000000000000000e+00
-6.999999999999999683e-07,0.000000000000000000e+00
-6.900000000000000641e-07,0.000000000000000000e+00
-6.800000000000000539e-07,4.000000000000000083e-02
-6.700000000000000438e-07,0.000000000000000000e+00
-6.600000000000000337e-07,0.000000000000000000e+00
-6.500000000000000235e-07,0.000000000000000000e+00
-6.400000000000000134e-07,0.000000000000000000e+00
-6.300000000000000033e-07,4.000000000000000083e-02
-6.199999999999999931e-07,0.000000000000000000e+00
-6.099999999999999830e-07,0.000000000000000000e+00
-5.999999999999999728e-07,0.000000000000000000e+00
-5.899999999999999627e-07,0.000000000000000000e+00
-5.800000000000000585e-07,4.000000000000000083e-02
-5.700000000000000483e-07,0.000000000000000000e+00
-5.600000000000000382e-07,0.000000000000000000e+00
-5.500000000000000281e-07,8.000000000000000167e-02
-5.400000000000000179e-07,4.000000000000000083e-02
-5.300000000000000078e-07,0.000000000000000000e+00
-5.199999999999999976e-07,0.000000000000000000e+00
-5.099999999999999875e-07,4.000000000000000083e-02
-4.999999999999999774e-07,0.000000000000000000e+00
-4.899999999999999672e-07,-4.000000000000000083e-02
-4.800000000000000630e-07,0.000000000000000000e+00
-4.699999999999999999e-07,0.000000000000000000e+00
-4.599999999999999898e-07,0.000000000000000000e+00
-4.500000000000000326e-07,4.000000000000000083e-02
-4.400000000000000224e-07,4.000000000000000083e-02
-4.300000000000000123e-07,4.000000000000000083e-02
-4.200000000000000022e-07,4.000000000000000083e-02
-4.099999999999999920e-07,0.000000000000000000e+00
-3.999999999999999819e-07,8.000000000000000167e-02
-3.900000000000000247e-07,4.000000000000000083e-02
-3.800000000000000146e-07,4.000000000000000083e-02
-3.700000000000000044e-07,4.000000000000000083e-02
-3.599999999999999943e-07,0.000000000000000000e+00
-3.499999999999999842e-07,0.000000000000000000e+00
-3.400000000000000270e-07,4.000000000000000083e-02
-3.300000000000000168e-07,4.000000000000000083e-02
-3.200000000000000067e-07,0.000000000000000000e+00
-3.099999999999999966e-07,4.000000000000000083e-02
-2.999999999999999864e-07,4.000000000000000083e-02
-2.900000000000000292e-07,4.000000000000000083e-02
-2.800000000000000191e-07,0.000000000000000000e+00
-2.700000000000000090e-07,8.000000000000000167e-02
-2.599999999999999988e-07,0.000000000000000000e+00
-2.499999999999999887e-07,0.000000000000000000e+00
-2.400000000000000315e-07,0.000000000000000000e+00
-2.299999999999999949e-07,0.000000000000000000e+00
-2.200000000000000112e-07,0.000000000000000000e+00
-2.100000000000000011e-07,0.000000000000000000e+00
-1.999999999999999909e-07,4.000000000000000083e-02
-1.900000000000000073e-07,-4.000000000000000083e-02
-1.799999999999999971e-07,8.000000000000000167e-02
-1.700000000000000135e-07,4.000000000000000083e-02
-1.600000000000000033e-07,8.000000000000000167e-02
-1.499999999999999932e-07,4.000000000000000083e-02
-1.400000000000000095e-07,0.000000000000000000e+00
-1.299999999999999994e-07,0.000000000000000000e+00
-1.200000000000000157e-07,-4.000000000000000083e-02
-1.100000000000000056e-07,0.000000000000000000e+00
-9.999999999999999547e-08,4.000000000000000083e-02
-8.999999999999999857e-08,0.000000000000000000e+00
-8.000000000000000167e-08,0.000000000000000000e+00
-7.000000000000000477e-08,0.000000000000000000e+00
-6.000000000000000787e-08,-4.000000000000000083e-02
-4.999999999999999774e-08,8.000000000000000167e-02
-4.000000000000000084e-08,-4.000000000000000083e-02
-3.000000000000000394e-08,0.000000000000000000e+00
