S0,S1,S2,S3
9.053943742477160717e-01,5.232654356708978938e-01,3.083031305300033553e-01,-2.488657010653217150e-01
9.030764808603782834e-01,5.314849099724748838e-01,2.914417998818226163e-01,-2.418416872157732322e-01
9.027838224011816015e-01,5.411928148161785357e-01,2.795406455372539956e-01,-2.341282210587085910e-01
9.033558537738529681e-01,5.546352084957962836e-01,2.733107858733272444e-01,-2.271726092070933678e-01
9.025727418714617478e-01,5.616633006762884461e-01,2.625978193054193111e-01,-2.204471185774889985e-01
9.033949846922352256e-01,5.740722279156718066e-01,2.568944915863342060e-01,-2.119380850043673103e-01
9.033034457199442535e-01,5.834254105078211516e-01,2.509891074657860099e-01,-2.029302054470473182e-01
9.053628209256588955e-01,5.957042738083483391e-01,2.527473279158534702e-01,-1.949525071833621837e-01
9.066947166217856902e-01,6.052713528141306920e-01,2.486232795073647361e-01,-1.833765990846316640e-01
9.085123368886022233e-01,6.175618332900624230e-01,2.535876171960320669e-01,-1.711384308322909942e-01
9.087570263332630516e-01,6.227611751497247328e-01,2.532902202982032502e-01,-1.600427946356579867e-01
9.136071797375906467e-01,6.342027675762421657e-01,2.636596846510878556e-01,-1.490638188972897293e-01
9.170809017325620704e-01,6.436707502826588545e-01,2.747086898840277458e-01,-1.344246261448754365e-01
9.195230978325851234e-01,6.513257111727699389e-01,2.837713201843424238e-01,-1.235704949833606320e-01
9.223180956712053735e-01,6.578218806089088933e-01,2.904242519808881706e-01,-1.090566077336282136e-01
9.256559634869409026e-01,6.667840732411937088e-01,2.961311752157095301e-01,-9.554961954186301509e-02
9.264768481211158591e-01,6.701341329059353757e-01,2.976870550819340489e-01,-8.205982916840086350e-02
9.282371832144491464e-01,6.765249307032550341e-01,3.024906171336676497e-01,-6.728265273957949322e-02
9.299636838213457546e-01,6.835735802608898792e-01,3.067066997657116878e-01,-5.150861316690963365e-02
9.315351558825440970e-01,6.898827003151132287e-01,3.083924371958500776e-01,-3.556400055442629493e-02
9.343504444849008994e-01,6.946456447599568262e-01,3.196589329240061006e-01,-1.914956939801690586e-02
9.392239215947035813e-01,7.037176352648233379e-01,3.362689267342989785e-01,-2.259052335296012851e-03
9.417546476978327918e-01,7.086275035780860154e-01,3.458992442450276594e-01,1.187295012552885831e-02
9.465226975660446795e-01,7.148336043304336362e-01,3.646618951456999658e-01,2.697193725287286986e-02
9.500528551414172407e-01,7.184979877595818465e-01,3.860050429668663297e-01,3.675229758319949191e-02
9.525834639757818634e-01,7.224786040988532276e-01,3.947269483789044853e-01,4.882367006295152551e-02
9.546735220471664896e-01,7.240547889559356687e-01,4.056031085637888389e-01,6.378437615744743383e-02
9.599155167170275726e-01,7.273591694161786192e-01,4.232904242101613868e-01,7.879920921085248331e-02
9.641841179713505072e-01,7.292213791920838517e-01,4.388246864074462072e-01,9.512748025026786236e-02
9.674763385971594243e-01,7.318901016770664736e-01,4.515434122909016690e-01,1.136602179347992458e-01
